Space        a  /a/
Movement     e  /ɛ/
Light        i  /ɪ/
Life         o  /ɔ/
Human        u  /ʊ/
Time         A  /ä/
Matter       E  /e/
Sound        I  /i/
Feeling      O  /o/
Spirit/Mind  U  /u/
Condition    Q  /œ/
Negation     Y  /y/
Together     b  /b/
Existence    c  /ʃ/
Through      d  /d/
This         f  /f/
Inside       g  /ɡ/
Question     h  /h/
Equal        j  /ʒ/
Above        k  /k/
Around       l  /l/
Quality      m  /m/
Quantity     n  /n/
Before       p  /p/
Positive     r  /ʀ/
Thing        s  /s/
Towards      t  /t/
Active       v  /v/
Power        w  /w/
Relation     x  /x/
